Artist,Birth,Death,Age,Alive?,Art Title,DoC,Currency,price,low_estimate,high_estimate,Sold,Est Accuracy,Dimentions,close date,Auction Title,closeMonth,closeYear,popularity
oscar edmund berninghaus ,1874,1952,78,0,A Poker Game in the Bunkhouse,0,USD,56250,40000,60000,1,0,(40.6 x 50.8 cm.),28,AMERICAN ART,11,12,"23,700"
yves klein ,1928,1962,34,0,"Peinture de feu sans titre, (F 63) (Untitled Fire Painting, (F 63))",1961,USD,1023125,275000,350000,1,1,(63 x 24cm.),17,POST WAR & CONTEMPORARY ART DAY AUCTION,10,15,"58,400"
pablo picasso ,1881,1973,92,0,Petit buste de femme,0,USD,25000,25000,35000,1,-1,(349 x 267 mm.),20,PRINTS AND MULTIPLES,4,18,"470,000"
franco angeli ,1935,1988,53,0,Apertura a sinistra,0,USD,21000,15750,21000,1,1,0,10,Mapping Modern and Contemporary Art,2,21,"213,000"
"albert joseph moore, a.r.w.s. ",1841,1893,52,0,Study for 'Kingcups',0,USD,6562.5,7500,10000,1,-1,(38.1 x 20.3 cm.),13,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,12,17,"1,500,000"
lucio fontana ,1899,1968,69,0,"Concetto spaziale, Natura",1959,USD,318125,225000,312500,1,1,(62.5 x 28.1 x 12cm.),16,THE ITALIAN SALE,10,15,"99,800"
howard hodgkin ,1932,2017,85,0,"Venice, Morning, from: Venetian Views",0,USD,10937.5,10000,15000,1,0,(each),28,Prints & Multiples,9,21,"181,000"
marc chagall ,1887,1985,98,0,La tentation,0,USD,69062.5,31250,43750,1,1,(37.5 x 28.1 cm.),7,IMPRESSIONIST/MODERN WORKS ON PAPER,2,13,"277,000"
harold frank wallace ,1881,1962,81,0,The unwelcome visitor,0,USD,9375,1000,1500,1,1,(48.9 x 71.1 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",12,17,"106,000"
ernst ludwig kirchner ,1880,1938,58,0,Zwei liegende Akte,0,USD,205625,125000,187500,1,1,(34.5 x 44.5 cm.),5,IMPRESSIONIST/MODERN WORKS ON PAPER,2,14,"138,000"
ernst samuel geiger ,1876,1965,89,0,"Abend, 1913",0,USD,7344,8160,12240,1,-1,0,30,SWISS ART,5,16,"4,340,000"
jasper johns ,1930,0,92,1,Untitled,0,USD,3250,2000,3000,1,1,(251 x 254 mm.),12,FIRST IMPRESSION,2,15,"6,200,000"
henry moore ,1898,1986,88,0,Fledgling,1960,USD,20312.5,6250,8750,1,1,0,2,MODERN BRITISH ART DAY SALE,3,21,"122,000"
roy lichtenstein ,1923,1997,74,0,"Imperfect 67 x 79 7/8"", from Imperfect Series",0,USD,100000,60000,80000,1,1,0,20,PRINTS AND MULTIPLES,4,18,"154,000"
pablo picasso ,1881,1973,92,0,Visage no. 197 (A.R. 494),1963,USD,23437.5,6250,10000,1,1,0,22,Picasso Ceramics - Online,6,18,"470,000"
karel appel ,1921,2006,85,0,Blue Nude,1965,USD,21000,12600,18900,1,1,0,27,Post-War and Contemporary Art Amsterdam,5,21,"167,000"
rené daniëls ,1950,0,72,1,Gespletenheid Geaccepteerd (Disunity Accepted),1982,USD,190575,157500,210000,1,0,0,21,POST-WAR AND CONTEMPORARY ART,4,16,"548,000"
kees verwey ,1900,1995,95,0,A colourful bouquet,1977,USD,11812.5,6300,8400,1,1,0,29,IMPRESSIONIST AND MODERN ART,5,13,"12,600"
pablo picasso ,1881,1973,92,0,Grand vase aux femmes voilées (Alain Ramié 116; Georges Bloch 21),0,USD,316575,126000,189000,1,1,0,3,ART IMPRESSIONNISTE ET MODERNE,12,13,"470,000"
maurice utrillo ,1883,1955,72,0,Eglise de Saint-Hilarion (Seine-et-Oise),0,USD,58275,52500,73500,1,0,0,24,ART MODERNE,10,14,"38,500"
colin w. burns ,1944,0,78,1,"The dunes at Waxham, Norfolk",0,USD,2812.5,2500,3750,1,0,(38.1 x 53.4 cm.),23,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",3,16,"2,750,000"
william joseph julius caesar bond ,1833,1928,95,0,Hay barge in open water,0,USD,2343.75,1875,2500,1,0,(60 x 41 cm.),19,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",6,14,"39,100"
pablo picasso ,1881,1973,92,0,Profil de Jacqueline (A.R. 383),1956,USD,10000,5000,7000,1,1,0,17,Picasso Ceramics Online,5,21,"470,000"
elmgreen & dragset ,1961,0,61,1,Powerless Structures Fig 171,2001,USD,14437.5,8400,12600,1,1,0,18,Post-War & Contemporary Art: Amsterdam,6,20,"102,000"
christopher richard wynne nevinson,1889,1946,57,0,The Temples of New York,1919,USD,15625,6250,8750,1,1,(20 x 15 cm.),26,"MODERN BRITISH AND IRISH ART DAY SALE, LONDON",6,15,"27,600"
werner drewes ,1899,1985,86,0,Pastorale,1941,USD,10625,4000,6000,1,1,(15.2 x 35.6 cm.),20,American Art Online,11,18,"66,000"
bernard buffet ,1928,1999,71,0,Clown au chapeau noir fond rouge,1961,USD,727500,300000,500000,1,1,(100.4 x 81.4 cm.),16,IMPRESSIONIST AND MODERN ART DAY SALE,5,17,"131,000"
john bock ,1965,0,57,1,Untitled (Ghost of Skipholt),2007,USD,750,500,700,1,1,(99.7 x 75.9 cm.),5,Christie's 100,2,20,"1,270,000"
helmut newton ,1920,2004,84,0,"Classic Portfolio (Helmut Newton Photographien), 1998",0,USD,124687.5,105000,157500,1,0,(chaque),9,PHOTOGRAPHIES,11,21,"49,400"
john ford clymer ,1907,1989,82,0,Red Dust,1977,USD,175000,150000,250000,1,0,(50.8 x 101.6 cm.),28,THE LEGEND OF THE WEST: ICONIC WORKS FROM THE T. BOONE PICKENS COLLECTION,10,20,"37,400"
archibald thorburn ,1860,1935,75,0,Polygonum,0,USD,1875,625,875,1,1,(15.2 x 19 cm.),18,"The Astor Collection from Tillypronie, Aberdeenshire",12,17,"26,400"
michael kirkham ,1971,0,51,1,Untitled,2008,USD,0,6300,8400,0,-1,0,26,20th/21st Century: Amsterdam,4,22,"346,000"
rené magritte ,1898,1968,70,0,Le sourire du diable,0,USD,379575,315000,525000,1,0,(19¼ x 11¾ in.),3,ART IMPRESSIONNISTE ET MODERNE,12,13,"541,000"
gary hume ,1962,0,60,1,Untitled (Four Doors),1991,USD,3750,1875,3125,1,1,(56 x 76cm.),20,POST WAR AND CONTEMPORARY ART 1990 TO NOW,11,12,"406,000"
barry mcgee ,1966,0,56,1,Venice Wall,1998,USD,40000,25000,35000,1,1,(154 x 121.9 cm.),8,FIRST OPEN,3,13,"516,000"
joan miró ,1893,1983,90,0,Personnage,0,USD,34375,25000,37500,1,0,(58 x 30.5 cm.),23,IMPRESSIONIST & MODERN ART WORKS ON PAPER,6,16,"959,000"
mimi parent ,1924,2005,81,0,Au Lion d'or,0,USD,9843.75,3150,5250,1,1,(36 ¼ x 28 ¾ in.),8,"POST-WAR AND CONTEMPORARY ART PARIS, DAY SALE",6,18,"3,880,000"
aristide maillol ,1861,1944,83,0,Nu agenouillé,0,USD,3412.5,2100,3150,1,1,0,18,ART MODERNE,10,19,"83,900"
ansel adams ,1902,1977,75,0,"Monolith, The Face of Half Dome, Yosemite National Park, c. 1926",0,USD,25000,20000,25000,1,1,(48.8 x 35.5 cm.),30,Photographs,9,20,"155,000"
max beckmann ,1884,1950,66,0,Bei der Toilette (Two Women Dressing),0,USD,9375,15000,20000,1,-1,(727 x 533 mm.),15,A GRAPHIC DIALOGUE: PRINTS FROM THE COLLECTION OF LOIS B. TORF,9,21,"747,000"
"elizabeth rossetti, née siddal ",1829,1862,33,0,"Study of a woman and a man seated on the ground, a further male figure standing behind",0,USD,3125,1250,1875,1,1,(11.1 x 11.4 cm.),11,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,7,18,"205,000"
yoshitomo nara ,1959,0,63,1,Sleepless Night Sitting,2007,USD,87500,30000,50000,1,1,(30 x 15 x 16 cm.),15,First Open | Online,12,20,"57,500"
marc chagall ,1887,1985,98,0,Vue de la fenêtre sur Central Park,1958,USD,221000,200000,300000,1,0,(50.8 x 76.3 cm.),6,IMPRESSIONIST & MODERN WORKS ON PAPER SALE,11,14,"285,000"
richard mortenssen ,1910,1993,83,0,Sans titre,0,USD,1050,420,630,1,1,0,27,The Fall/Winter Modern Art Week 2020,10,20,"3,230,000"
leonor fini ,1907,1996,89,0,La Nuit vaincue,0,USD,4750,1200,1500,1,1,(575 x 384 mm.),2,PRINTS & MULTIPLES FEATURING THE GILBERT E. KAPLAN COLLECTION OF SURREALIST PRINTS,11,16,"66,800"
jonas lie ,1880,1940,60,0,On the Wings of the Morning,0,USD,87500,60000,80000,1,1,(76.2 x 114.3 cm.),7,American Art Online,8,20,"839,000"
"joseph edward southall, r.b.s.a., n.e.a.c. ",1861,1944,83,0,Study of a standing female observed from behind and a study of the head of a lady,0,USD,1250,750,1000,1,1,(38.1 x 26.7 cm.),4,THE NEIL WILSON COLLECTION: A ROMANTIC VISION,9,14,"41,500,000"
francis picabia ,1879,1953,74,0,What men have on their minds,0,USD,28125,15000,22500,1,1,(30.7 x 22.5 cm.),5,IMPRESSIONIST/MODERN WORKS ON PAPER,2,15,"79,200"
david hockney ,1937,0,85,1,Dale and Mo,0,USD,56250,31250,43750,1,1,(48.8 x 39.4 cm.),20,MODERN BRITISH ART DAY SALE,6,18,"145,000"
ernie barnes ,1938,2009,71,0,The Red Wall,1970,USD,63000,50000,70000,1,0,(75.6 x 91.4 cm.),10,POST-WAR TO PRESENT,3,22,"497,000"
fernand léger ,1881,1955,74,0,"Les deux amoureux, 1er état",1952,USD,1285937.5,1000000,1500000,1,0,(65.2 x 50.5 cm.),27,IMPRESSIONIST AND MODERN ART EVENING SALE,2,18,"299,000"
george turner ,1843,1910,67,0,"A quiet pool, near Stanton-by-Bridge",0,USD,3125,1875,2500,1,1,(46 x 66 cm.),13,VICTORIAN & BRITISH IMPRESSIONIST ART,3,13,"2,500,000"
andré brasilier ,1929,0,93,1,Cavalcade dans les flots,2010,USD,54687.5,50000,75000,1,0,(116 x 81.2 cm.),21,IMPRESSIONIST AND MODERN ART DAY SALE,6,18,"23,000,000"
richard diebenkorn ,1922,1993,71,0,Untitled,0,USD,137500,80000,120000,1,1,(57.1 x 44.4 cm.),18,POST-WAR AND CONTEMPORARY ART MORNING SESSION,5,18,"63,200"
patrick caulfield,1936,2005,69,0,Study,1992,USD,117187.5,50000,75000,1,1,(76.2 x 61 cm.),22,MODERN BRITISH ART DAY SALE,1,20,"313,000"
richard diebenkorn ,1922,1993,71,0,Nude—Elbow on Knee,1961,USD,1152500,800000,1200000,1,0,(61 x 43.8 cm.),17,POST-WAR AND CONTEMPORARY ART EVENING SALE,5,18,"63,200"
julia chiang ,1978,0,44,1,Wet and Breezy,2020,USD,32500,18000,25000,1,1,(76.2 x 55.9 cm.),10,POST-WAR & CONTEMPORARY ART DAY SALE,7,20,"2,050,000"
"wilfred gabriel de glehn, n.e.a.c. ",1870,1951,81,0,A reclining nude with a subsidiary study of arm,0,USD,1093.75,1875,2500,1,-1,(39.4 x 52.7 cm.),12,"BRITISH ART: VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",12,19,"37,100"
salvador dalí ,1904,1989,85,0,Coming back (Projet pour un deux pièces de plage),1965,USD,94500,42000,63000,1,1,0,18,ART MODERNE,10,18,"2,420,000"
peter lindbergh ,1944,2019,75,0,"Cindy Crawford, Tatjana Patitz, Helena Christensen, Linda Evangelista, Claudia Schiffer, Naomi Campbell, Karen Mulder, Stephanie Seymour, American Vogue, Brooklyn, New York, 1991",0,USD,23625,8400,10500,1,1,(12 5/8 x 10 in.),5,PHOTOGRAPHIES,11,19,"841,000"
paul klee ,1879,1940,61,0,Forellenbach Miniatürartig (Trout Brook Miniature-like),1916,USD,393125,100000,150000,1,1,(11.5 x 24 cm.),5,IMPRESSIONIST/MODERN WORKS ON PAPER,2,15,"242,000"
marc chagall ,1887,1985,98,0,Les amoureux au bouquet,0,USD,571562.5,437500,687500,1,0,(52.3 x 39.8 cm.),7,IMPRESSIONIST/MODERN DAY SALE,2,13,"292,000"
pablo picasso ,1881,1973,92,0,Corrida sur fond noir (A.R. 198),0,USD,6562.5,5000,7500,1,0,0,21,Picasso Ceramics Online,6,19,"470,000"
norman rockwell ,1894,1978,84,0,Profile of a World War I Sailor,1918,USD,16250,15000,25000,1,0,(35.6 x 25.4 cm.),22,American Art Online,5,19,"335,000"
sophie anderson ,1823,1903,80,0,The Thrush's Nest,0,USD,14062.5,12500,18750,1,0,(21 x 25.4 cm.),16,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",6,15,"16,200"
mimmo rotella ,1918,2006,88,0,Unione A T,1990,USD,10156.25,5000,7500,1,1,(77.5 x 115.5cm.),19,on paper | online,9,17,"47,700"
karel appel ,1921,2006,85,0,Running Boy with Bird,1971,USD,34125,26250,36750,1,0,0,27,POST-WAR & CONTEMPORARY ART,11,18,"167,000"
pierre bonnard ,1867,1947,80,0,Le jardin public,0,USD,343750,100000,150000,1,1,(38 x 55 cm.),1,IMPRESSIONIST AND MODERN ART DAY AND WORKS ON PAPER SALE,7,21,"116,000"
sean scully ,1945,0,77,1,Wall of Light Reef,2012,USD,693125,375000,625000,1,1,(160 x 160cm.),11,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,2,15,"301,000"
robert indiana ,1928,2018,90,0,American Dreams No. 5 (The Golden Five),0,USD,5512.5,5000,7500,1,0,(each),24,Prints and Multiples,3,22,"312,000"
sam moyer ,1983,0,39,1,Untitled,2013,USD,11250,8000,12000,1,0,(213.4 x 157.5 cm.),15,First Open | Online,12,20,"540,000"
a.r. penck ,1939,2017,78,0,Zen-Trum,1987,USD,195312.5,18750,25000,1,1,(114.4 x 24 x 24cm.),25,POST-WAR AND CONTEMPORARY ART DAY SALE,3,21,"176,000"
rembrandt harmensz. van rijn ,1606,1669,63,0,"The Card Player (B., Holl. 136; H. 190)",0,USD,1875,1875,3125,1,-1,0,20,PRINTS & MULTIPLES INCLUDING AN IMPORTANT COLLECTION BY HENRY MOORE,9,12,"51,300"
james smetham ,1821,1881,60,0,The Mandolin,0,USD,595937.5,125000,187500,1,1,(49.5 x 40.7 cm.),13,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,12,17,"11,800"
rené burri ,1933,2014,81,0,"Pablo Picasso, Nîmes France, 1957",0,USD,5250,4200,6300,1,0,(13 7/8 x 20 ½ in.),10,PHOTOGRAPHIES,11,17,"691,000"
pablo gargallo ,1881,1934,53,0,Espagnole à la mantille (Version I),1930,USD,426250,187500,250000,1,1,0,7,FROM ANCIENT TO MODERN: A DISTINGUISHED PRIVATE COLLECTION,12,16,"96,800"
richard diebenkorn ,1922,1993,71,0,Blue With Red,0,USD,23750,15000,20000,1,1,(857 x 584 mm.),20,Contemporary Edition,7,21,"63,200"
raoul de keyser ,1930,0,92,1,Untitled,1968,USD,45675,21000,31500,1,1,0,21,POST-WAR AND CONTEMPORARY ART,4,16,"47,400"
georges rouault ,1871,1958,87,0,Qui ne se grime pas? (Miserere et guerre),0,USD,37500,22500,31250,1,1,(57 x 43.2 cm.),1,IMPRESSIONIST AND MODERN WORKS ON PAPER,3,17,"46,300"
dante gabriel rossetti ,1828,1882,54,0,A woman combing her hair; Fanny Cornforth,0,USD,678125,625000,1000000,1,0,(34.3 x 31.1 cm.),13,"VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART",7,16,"232,000"
sir william blake richmond,1842,1921,79,0,"Female head study, looking up",0,USD,7812.5,3750,6250,1,1,(40.8 x 29.8 cm.),16,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",6,15,"36,000"
graciela hasper ,1966,0,56,1,Untitled,2006,USD,9375,6000,8000,1,1,(145.4 x 145.1 cm.),29,Latin American Art Online,5,19,"2,070,000"
giovanni battista piranesi ,1720,1778,58,0,"Two Plates, from: Vedute di Roma",0,USD,3437.5,1875,3125,1,1,(H. 96),28,Old Master Prints,1,21,"58,400"
"arago, jacques",1790,1855,65,0,,0,USD,1093.75,1000,1500,1,0,(345 x 256mm),29,TOPOGRAPHICAL PICTURES INCLUDING SELECTIONS FROM THE KELTON COLLECTION,10,19,"1,410,000"
helen frankenthaler ,1928,2011,83,0,One O'Clock,1966,USD,495000,500000,700000,1,-1,(238.8 x 196.2 cm.),27,POST-WAR TO PRESENT,9,19,"27,900"
pablo picasso ,1881,1973,92,0,Trois personnages sur tremplin (A.R. 374),1956,USD,5250,2000,3000,1,1,0,13,Picasso Ceramics Online,11,19,"470,000"
sir eduardo paolozzi,1924,2005,81,0,Castel Lagopesole,0,USD,0,5000,7500,0,-1,(29.8 x 30.2 cm.),23,MODERN BRITISH AND IRISH ART DAY SALE,3,22,"16,100"
pablo picasso ,1881,1973,92,0,Motif spiralé (A.R. 404),1957,USD,7500,2500,3500,1,1,0,13,Picasso Ceramics Online,11,19,"470,000"
andré beaurepaire ,1924,2012,88,0,Projet de décors pour des tableaux japonisants,0,USD,1587.6,1050,1575,1,1,0,6,Roland Petit & Zizi Jeanmaire : Un patrimoine pour la danse,4,22,"22,200,000"
christopher wool ,1955,0,67,1,Untitled,2008,USD,8262500,7500000,9500000,1,0,(269.2 x 243.9 cm.),17,POST-WAR AND CONTEMPORARY ART EVENING SALE,5,18,"1,950,000"
giovanni battista piranesi ,1720,1778,58,0,Veduta della Piazza del Campidoglio,0,USD,1093.75,1000,1500,1,0,0,4,PRINTS & MULTIPLES,12,14,"58,400"
daan van golden ,1936,2017,81,0,B.B.,1979,USD,5906.25,5250,7350,1,0,0,18,Post-War & Contemporary Art: Amsterdam,6,20,"43,000"
maqbool fida husain ,1913,2011,98,0,Untitled,0,USD,18750,12500,18750,1,1,(51.1 x 42.5 cm.),25,SOUTH ASIAN MODERN + CONTEMPORARY ART,5,17,"14,200"
sir eduardo paolozzi,1924,2005,81,0,Berlin,1975,USD,37500,18750,31250,1,1,(60 x 108.3 cm.),20,MODERN BRITISH ART DAY SALE,11,18,"16,100"
henri lebasque ,1865,1937,72,0,"Cannes, parasol bleu et tentes",0,USD,98500,80000,120000,1,0,(46 x 55 cm.),8,IMPRESSIONIST AND MODERN ART DAY SALE,11,12,"31,200"
donald judd ,1928,1994,66,0,"TWO 'NO. 45' CHAIRS, DESIGNED 1984",0,USD,21250,8000,10000,1,1,0,22,FIRST OPEN| HOME,3,16,"158,000"
pablo picasso ,1881,1973,92,0,Scène de plage (A.R. 391),1956,USD,5625,2500,3500,1,1,0,13,Picasso Ceramics: Including Property from the Collection of Joan A. Mendell,11,18,"470,000"
pablo picasso ,1881,1973,92,0,Chouette (A.R. 543),1968,USD,40000,12000,18000,1,1,0,15,Picasso Ceramics,5,19,"470,000"
pablo picasso ,1881,1973,92,0,Visage dans un ovale (A.R. 275),0,USD,10937.5,5000,7500,1,1,0,2,Picasso Ceramics - Online,3,18,"470,000"
edward weston ,1886,1958,72,0,"Dunes, Oceano, 1936",0,USD,118750,100000,150000,1,0,(19 x 24cm.),31,20/21 PHOTOGRAPHS,3,15,"179,000"
william aiken walker ,1838,1921,83,0,The Cotton Field,0,USD,35000,6000,8000,1,1,(15.6 x 31.1 cm.),25,AMERICAN ART,3,15,"177,000"
"david jagger, r.p. ",1891,1958,67,0,Model Resting,1936,USD,187500,75000,100000,1,1,(95.9 x 177.8 cm.),29,MODERN BRITISH ART,9,20,"131,000"
ben nicholson ,1894,1982,88,0,1944 (still life),1944,USD,203125,100000,150000,1,1,(26 x 35.2 cm.),21,MODERN BRITISH AND IRISH ART DAY SALE,10,21,"994,000"
sherrie levine ,1947,0,75,1,After Man Ray,1984,USD,20000,7000,10000,1,1,(35.6 x 25.4 cm.),27,FIRST OPEN,9,13,"197,000"
anthony thieme ,1888,1954,66,0,"Rooftops, Gloucester",0,USD,16250,12000,18000,1,0,(77.5 x 91.4 cm.),22,American Art Online,5,19,"55,500"
dame elisabeth frink,1930,1993,63,0,Warrior II,1964,USD,31250,25000,37500,1,0,0,21,MODERN BRITISH AND IRISH ART DAY SALE,11,13,"11,200"
jean hugo ,1894,1984,90,0,A farmyard; and Cows in a meadow,0,USD,4062.5,1875,2500,1,1,"(8 x 12,8 cm.)",6,"Old Master Works on Paper: Prints and Drawings for under £5,000",12,18,"29,200"
robert filliou ,1926,1987,61,0,La Couleur des Langues,1973,USD,9843.75,4200,6300,1,1,0,4,POST-WAR AND CONTEMPORARY ART VENTE DU JOUR,12,19,"20,600"
william herbert dunton ,1878,1936,58,0,The Cow-puncher,1908,USD,8125,7000,10000,1,0,(22.9 x 15.2 cm.),21,American Art Online,11,17,"57,800"
maurice utrillo ,1883,1955,72,0,Rue du Mont-Cenis à Montmartre,0,USD,379575,210000,315000,1,1,(28¾ x 39¾ in.),3,ART IMPRESSIONNISTE ET MODERNE,12,13,"38,500"
joel shapiro ,1941,0,81,1,Untitled,1972,USD,6875,3000,5000,1,1,(102.9 x 66 cm.),27,THE COLLECTION OF PAUL F. WALTER,9,17,"535,000"
chaïm soutine ,1893,1943,50,0,Glaïeuls,1919,USD,218750,125000,187500,1,1,(55.2 x 38.3 cm.),28,IMPRESSIONIST AND MODERN ART DAY SALE,2,19,"112,000"
rudolf stingel ,1956,0,66,1,Untitled,2010,USD,3310937.5,3500000,4375000,1,-1,(332.7 x 258.4cm.),6,POST-WAR AND CONTEMPORARY ART EVENING AUCTION,3,18,"38,900"
nathan oliveira ,1928,2010,82,0,Couple and Light,0,USD,23625,21000,31500,1,0,(60 x 50 in.),29,COLLECTION WILLEM PEPPLER,10,14,"330,000"
edmund blair leighton ,1852,1922,70,0,A Favour,0,USD,21875,18750,31250,1,0,(91.5 x 50.9 cm.),12,"BRITISH ART: VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",12,19,"40,000"
gino severini ,1883,1966,83,0,Saint Laurent de Brindes,1951,USD,2343.75,1875,2500,1,0,(35.5 x 20.5 cm.),22,IMPRESSIONIST/MODERN,6,12,"64,200"
pablo picasso ,1881,1973,92,0,Le déjeuner sur l'herbe (A.R. 517),1964,USD,137500,70000,100000,1,1,(51 x 61.6 cm.),15,Picasso Ceramics,11,17,"470,000"
dora maar ,1907,1997,90,0,"Les années vous guettent, 1936",0,USD,341775,105000,157500,1,1,(11 7/8 x 8 ½ in.),20,COLLECTION SHALOM SHPILMAN VENDUE AU PROFIT DU SHPILMAN INSTITUTE FOR PHOTOGRAPHY,11,15,"48,600"
terry pope ,1941,0,81,1,Space Improvisation Drawing,0,USD,3750,1875,3125,1,1,(44.1 x 44.1 x 11.5 cm.),24,Modern/British Art Online,11,17,"1,520,000"
arthur wardle ,1864,1949,85,0,A springer spaniel,0,USD,4375,2500,3750,1,1,(55.9 x 35.5 cm.),27,SPORTING & WILDLIFE ART,11,13,"52,200"
francisco de goya y lucientes ,1746,1828,82,0,The Chinchillas (Los Chinchillas) Plate 50 from: Los Caprichos,0,USD,3750,3000,5000,1,0,(203 x 149 mm.),23,The Sleep of Reason: Francisco Goya’s Los Caprichos,10,20,"106,000"
howard hodgkin ,1932,2017,85,0,"In Touch / Checking In, from: The Way We Live Now",0,USD,1250,1250,2500,1,-1,0,12,Feelings in Colour: The Graphic Art of Howard Hodgkin,4,19,"181,000"
bruce nauman ,1941,0,81,1,Partial Truth,1997,USD,37500,20000,30000,1,1,(45.7 x 61 x 5 cm.),16,POST-WAR & CONTEMPORARY AFTERNOON SESSION,5,13,"240,000"
hector poleo ,1918,1989,71,0,Los novios,1956,USD,137500,120000,180000,1,0,(149.2 x 80.6 cm.),24,LATIN AMERICAN ART,5,18,"13,700"
louise nevelson ,1899,1988,89,0,Moon-Star Zag XII,1981,USD,149000,60000,80000,1,1,(109.2 x 147.3 x 22.8 cm.),22,FIRST OPEN/ NYC,7,15,"44,300"
gunther gerzso ,1915,2000,85,0,Tihuanacu Revisited,1950,USD,0,25000,35000,0,-1,(35.05 x 47.75 cm.),18,Latin American Art Online,2,22,"13,000"
edward weston ,1886,1958,72,0,"Head of an Italian Girl (Tina Modotti), 1921",0,USD,177975,157500,210000,1,0,(9½ x 7½ in.),13,COLLECTION KASPAR M. FLEISCHMANN VENDUE AU PROFIT DU CENTRE DE PHOTOGRAPHIE DE L'UNIVERSITÉ DE ZURICH,11,14,"179,000"
camille pissarro ,1830,1903,73,0,Fiacres sur le Boulevard Montmartre,0,USD,485000,150000,250000,1,1,(18.2 x 23 cm.),15,IMPRESSIONIST AND MODERN WORKS ON PAPER INCLUDING PROPERTY FROM THE JOHN C. WHITEHEAD COLLECTION,5,15,"164,000"
joe tilson,1928,0,94,1,Giant Steps,0,USD,26562.5,12500,18750,1,1,(220 x 270 cm.),22,MODERN BRITISH ART DAY SALE,1,20,"160,000"
louis soutter ,1871,1942,71,0,Tableau étude,0,USD,9180,6120,8160,1,1,0,24,SWISS ART,9,12,"28,900"
paul cesar helleu ,1859,1927,68,0,Portraits de Marthe Letellier et d'Ellen Helleu,0,USD,13125,7350,10500,1,1,(19¼ x 24¼ in.),10,RENDEZ-VOUS - INTÉRIEURS CONTEMPORAINS,10,12,"24,400"
hans rudolf giger ,1940,2014,74,0,"Passage XXV, 1972",0,USD,122400,20400,25500,1,1,0,5,SWISS ART,5,15,"193,000"
myles birket foster ,1825,1899,74,0,"A girl in a conservatory, traditionally identified as the artist's daughter",0,USD,13281.25,5000,7500,1,1,(22.9 x 17.2 cm.),13,"VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART",7,16,"18,000"
harm kamerlingh onnes ,1893,1985,92,0,"Voorjaar; the artist's holiday cottage, Terschelling",0,USD,2100,1260,1680,1,1,0,4,"NINETEEN TO NOW, INCL. TOPOGRAPHICAL OBSERVATIONS",9,12,"16,300"
ben nicholson ,1894,1982,88,0,King Charles' Statue,1931,USD,6250,6250,10000,1,-1,(36.8 x 29.9 cm.),20,MODERN BRITISH ART DAY SALE,11,18,"994,000"
herbert gustave schmalz ,1857,1935,78,0,Eve in exile,0,USD,70312.5,37500,62500,1,1,(185.4 x 99.1 cm.),11,VICTORIAN PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART,7,18,"31,400"
parviz tanavoli ,1937,0,85,1,Heech,2010,USD,50000,40000,60000,1,0,0,22,DUBAI: POST WAR AND CONTEMPORARY ART,3,18,"9,320"
frank stella ,1936,0,86,1,Sacramento Mall Proposal #1,1978,USD,1805000,1500000,2000000,1,0,(262.8 x 262.8 cm.),14,POST-WAR AND CONTEMPORARY MORNING SESSION,5,14,"34,500"
andy warhol ,1928,1987,59,0,Brillo Soap Pads Box,1964,USD,479062.5,375000,625000,1,0,(41.3 x 43.2 x 35.7cm.),12,POST-WAR AND CONTEMPORARY ART EVENING SALE,2,20,"3,310,000"
lyonel feininger ,1871,1956,85,0,"Cape ""Thistle""",0,USD,51250,30000,40000,1,1,(23.9 x 31.7 cm.),10,"THE COLLECTION OF PEGGY AND DAVID ROCKEFELLER: FINE ART, DAY SALE",5,18,"52,700"
pablo picasso ,1881,1973,92,0,Visage no. 179 (A.R. 490),1963,USD,10000,3000,5000,1,1,0,13,Picasso Ceramics Online,11,19,"470,000"
irving penn ,1917,2009,92,0,"Mrs. WM. Rhinelander Stewart, New York, 1948",0,USD,9187.5,7350,9450,1,0,(9 5/8 x 7 ¼ in.),5,PHOTOGRAPHIES,11,19,"173,000"
sir william russell flint,1880,1969,89,0,Mountainous landscape,0,USD,4687.5,3750,6250,1,0,(47.3 x 64.8 cm.),26,"VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART",11,14,"52,400"
