Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
GUSTAVE COURBET ,FRENCH,1877,Portrait of Madame Sophie Loiseau,1869,"GBP 30,000 - GBP 50,000","GBP 32,500",(73 x 60 cm.),10 Dec 2020,"26 Nov - 10 Dec 2020 | Online Auction 18879
British & European Art"
Joan Miró ,1893,1983,Sans titre,0,"GBP 12,000 – GBP 18,000","GBP 35,000",(15.7 x 22.1 cm.),3 Feb 2016,"2016 | LIVE AUCTION 11790
IMPRESSIONIST & MODERN WORKS ON PAPER"
Yoshitomo Nara ,1959,0,Untitled (Boxing Island),2004,"GBP 10,000 – GBP 15,000","GBP 27,500",(27 x 21cm.),12 Oct 2012,"2012 | LIVE AUCTION 5710
POST WAR AND CONTEMPORARY ART DAY AUCTION"
Frits Thaulow ,Norwegian,1906,Winter Landscape,0,"USD 40,000 – USD 60,000","USD 47,500",(55.8 x 92 cm.),1 Nov 2012,"2012 | LIVE AUCTION 2592
19TH CENTURY EUROPEAN ART"
JANET TAYLOR PICKETT ,1948,0,Settled In,2018,"USD 30,000 - USD 50,000","USD 43,750",(122 x 91.4 cm.),15 Dec 2021,"3 Dec - 15 Dec 2021 | Online Auction 20094
First Open Online: Post War & Contemporary Art"
SAM FRANCIS ,1923,1994,Untitled,0,"USD 4,000 - USD 6,000","USD 4,375",(1137 x 740 mm.),21 Sep 2017,"12 Sep - 21 Sep 2017 | Online Auction 15074
Contemporary Edition"
Henri Matisse ,1869,1954,Nu de dos,0,"USD 40,000 – USD 60,000","USD 68,750",(26.5 x 13 cm.),16 May 2017,"2017 | LIVE AUCTION 14185
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
Carl Frederich Heinrich Werner ,German,1894,"Mosque of Sultan Hassan, Cairo",0,"GBP 10,000 – GBP 15,000","GBP 10,000",(33 x 27.5 cm.),14 Dec 2017,"2017 | LIVE AUCTION 14235
19TH CENTURY EUROPEAN & ORIENTALIST ART"
Keith Haring ,1958,1990,Untitled,1981,"USD 150,000 – USD 200,000","USD 212,500",(35.56 x 48.26 cm.),10 Jul 2020,"2020 | LIVE AUCTION 18727
POST-WAR & CONTEMPORARY ART DAY SALE"
JOSEPH-PHILIBERT GIRAULT DE PRANGEY ,1804,PHILIBERT,"21. Rome. Colonaccie, 1842",0,"EUR 20,000 – EUR 30,000","EUR 22,500",( 9 ½ x 7 ½ in.),12 Nov 2015,"2015 | LIVE AUCTION 4048
PHOTOGRAPHS"
Jean-Baptiste  Bertrand ,James,Baptiste,At the shrine,0,"GBP 2,000 – GBP 4,000","GBP 2,500",(35.5 x 21.7 cm.),2 May 2014,"2014 | LIVE AUCTION 5613
19TH CENTURY EUROPEAN ART"
George Rickey ,1907,2002,Two Open Rectangles Up Wall,1981,"USD 12,000 - USD 18,000","USD 18,750",(57.2 x 25.4 x 10.2 cm.),18 Dec 2019,"9 Dec - 18 Dec 2019 | Online Auction 17637
First Open | Online"
ATTRIBUTED TO MAISON JANSEN,39,plated,Illuminated Chess Table,0,"GBP 4,000 – GBP 6,000","GBP 2,500",(39 x 76 x 76 cm.),20 Jun 2019,"2019 | LIVE AUCTION 18504
THE LANDSCAPE OF A MIND: A PRIVATE COLLECTOR'S SURREAL VISION"
Le Corbusier ,1887,1965,"Nature morte, carafe, verre, bouteille et dé",1955,"USD 90,000 – USD 120,000","USD 112,500",(63.1 x 48 cm.),16 May 2017,"2017 | LIVE AUCTION 14185
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
JOAN MITCHELL ,1925,1992,Trees II,0,"USD 10,000 – USD 15,000","USD 21,250",(1448 x 2083 mm.),27 Feb 2019,"2019 | LIVE AUCTION 16785
CONTEMPORARY EDITION"
MARC CHAGALL ,1887,1985,David,0,"GBP 4,000 – GBP 6,000","GBP 5,625",(M. 700),19 Sep 2017,"2017 | LIVE AUCTION 13879
PRINTS AND MULTIPLES"
Pablo Picasso ,1881,1973,Deux soeurs,0,"GBP 120,000 – GBP 180,000","GBP 116,500",(62.2 x 46.7 cm.),3 Feb 2016,"2016 | LIVE AUCTION 11790
IMPRESSIONIST & MODERN WORKS ON PAPER"
MARC CHAGALL ,1887,1985,Christ au couple en rouge,1958,"GBP 260,000 - GBP 360,000","GBP 299,250",(55.8 x 45.3 cm.),14 Jul 2020,"26 Jun - 14 Jul 2020 | Online Auction 18872
Dialogues: Modern and Contemporary Art"
KOUR POUR ,0,0,Sakurajima Volcano,2015,"USD 20,000 - USD 30,000","USD 27,500",(221 x 193 cm.),16 Dec 2021,"3 Dec - 16 Dec 2021 | Online Auction 21111
Image World | Contemporary Art from a Private American Collection"
GERALD LAING ,1963,2011,Lincoln Convertible,0,"USD 2,500 - USD 3,500","USD 2,750",(905 x 1373 mm.),21 Sep 2017,"12 Sep - 21 Sep 2017 | Online Auction 15074
Contemporary Edition"
"Clarkson Stanfield, R.A. ",Sunderland,1867,Prison hulks lying in the estuary in a stiff breeze,0,"GBP 10,000 – GBP 15,000","GBP 10,000",(72.4 x 102.9 cm.),20 Nov 2013,"2013 | LIVE AUCTION 9679
MARITIME ART"
Floris van Schooten ,lower,1656,"Copper pots and pans, an overturned candlestick holder and a candle snuffer on a stone ledge",0,"GBP 12,000 – GBP 18,000","GBP 21,250",(52.1 x 74.9 cm.),30 Oct 2014,"2014 | LIVE AUCTION 5660
OLD MASTER AND BRITISH PAINTINGS"
Lamqua ,fl,1860,"A Western Merchant, seated small half length, by a Moon Window, with a view to a Pagoda beyond",0,"GBP 6,000 – GBP 8,000","GBP 9,750",(29.2 x 24.8cm.),7 Nov 2019,"2019 | LIVE AUCTION 18840
CHINA TRADE PAINTINGS: SELECTIONS FROM THE KELTON COLLECTION"
ISSHAQ ISMAIL ,0,0,Epoch I,2018,"GBP 10,000 - GBP 15,000","GBP 118,750",(151.2 x 126.1cm.),19 Oct 2021,"5 Oct - 19 Oct 2021 | Online Auction 19842
First Open: Post-War & Contemporary Art Online"
BERENICE ABBOTT ,1898,four,"El, Second and Third Avenue Lines, 1936",0,"USD 5,000 - USD 7,000","USD 3,250",(58.4 x 46.3 cm.),28 Oct 2020,"19 Oct - 28 Oct 2020 | Online Auction 19792
Aperture"
FRANK STELLA ,B,coloring,"Frontispiece, from Illustrations after El Lissitsky's Had Gadya",0,"USD 7,000 – USD 10,000","USD 9,375",(1078 x 860 mm.),10 Mar 2021,"2021 | LIVE AUCTION 19622
CONTEMPORARY EDITION"
"ANGELICA KAUFFMAN, R.A. ",CHUR,1807,"Cornelia, Mother of the Gracchi",0,"USD 200,000 – USD 300,000","USD 1,110,000",(110 x 152 cm.),14 Oct 2021,"2021 | LIVE AUCTION 19994
OLD MASTER PAINTINGS AND SCULPTURE"
Raoul Dufy ,1877,1953,La Mer,0,"USD 20,000 – USD 30,000","USD 20,000",(54 x 38 cm.),6 Nov 2014,"2014 | LIVE AUCTION 2889
IMPRESSIONIST & MODERN WORKS ON PAPER SALE"
Luc Tuymans ,1958,0,Mrs.,1999,"GBP 1,200,000 – GBP 1,800,000","GBP 1,482,500",(217 x 134cm.),11 Feb 2016,"2016 | LIVE AUCTION 11795
POST-WAR AND CONTEMPORARY ART EVENING AUCTION"
J.T. Bowen  after John James Audubon ,Late,1851,[The Birds of North America]: Twelve Plates,0,"USD 1,500 – USD 2,000","USD 6,000",(203 x 127 mm.),26 Aug 2015,"2015 | LIVE AUCTION 3760
INTERIORS"
ROBERT FRANK ,0,0,"Approaching New York Harbor, 1952",0,"USD 12,000 - USD 18,000",0,(26.6 x 40.6 cm.),7 Apr 2022,"23 Mar - 7 Apr 2022 | Online Auction 21379
Photographs from the Richard Gere Collection"
Fernand Léger ,1881,1955,Eléments mécaniques,1918,"USD 300,000 – USD 500,000","USD 275,000",(33.5 x 23.5 cm.),16 May 2018,"2018 | LIVE AUCTION 15972
IMPRESSIONIST AND MODERN ART WORKS ON PAPER"
George Chinnery ,1774,1852,"Tanka boats on the shore, Macao",0,"GBP 20,000 – GBP 30,000","GBP 27,500",(23 x 25.4cm.),15 Dec 2016,"2016 | LIVE AUCTION 12248
TOPOGRAPHICAL PICTURES"
Paul Klee ,1879,1940,Drei bote,1926,"USD 25,000 – USD 35,000","USD 50,000",(25.4 x 40 cm.),17 Nov 2016,"2016 | LIVE AUCTION 12146
IMPRESSIONIST & MODERN ART WORKS ON PAPER SALE"
Georg Baselitz ,1938,0,Adler (Eagle),1979,"GBP 10,000 – GBP 15,000","GBP 16,250",(85.7 x 61cm.),1 Jul 2015,"2015 | LIVE AUCTION 10382
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Wifredo Lam ,Cuban,1982,Untitled,1944,"USD 400,000 – USD 600,000","USD 482,500",(107 x 84.5 cm.),21 Nov 2012,"2012 | LIVE AUCTION 2600
LATIN AMERICAN SALE"
Giovanni Grubacs ,Italian,1919,"St Mark’s Square looking towards San Giorgio Maggiore, Venice",0,"GBP 5,000 – GBP 7,000","GBP 5,000",(30.2 x 40 cm.),21 Jan 2015,"2015 | LIVE AUCTION 10358
19TH CENTURY EUROPEAN ART"
Jonas Wood ,1977,0,M.S.F. Fish Pot #5,2015,"USD 900,000 – USD 1,200,000","USD 3,375,000",(193 x 188 cm.),16 May 2019,"2019 | LIVE AUCTION 16979
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
"Marcus Stone, R.A. ",1840,1921,"'My Lady is a Widow and Childless' 'Tis better to be lowly born, and range with humble livers in content, than to be perk'd up in a glistering grief, and wear a golden sorrow' William Shakespeare, The Life of King Henry VIII, act II, scene 3.",0,"GBP 30,000 – GBP 50,000","GBP 58,850",(55.6 x 36.8 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
Dan Walsh ,1960,0,Untitled (Ochre),2001,"GBP 5,000 - GBP 7,000","GBP 9,375",(91.6 x 91.6cm.),19 Sep 2019,"11 Sep - 19 Sep 2019 | Online Auction 17697
First Open | Online"
HENDRIK REEKERS ,DUTCH,1854,Still Life with Summer Flowers,0,"USD 80,000 - USD 120,000","USD 87,500",(92.1 x 71.2 cm.),16 Oct 2020,"1 Oct - 16 Oct 2020 | Online Auction 19029
European Art Part II"
Sir Jacob Epstein ,1880,1959,Genesis,1931,"GBP 1,000 – GBP 1,500","GBP 1,375",(50.2 x 36.2 cm.),14 Jul 2016,"2016 | LIVE AUCTION 12304
MODERN BRITISH AND IRISH ART"
Yoshitomo Nara ,1959,0,So You Better Hold On,1995,"USD 180,000 – USD 250,000","USD 396,500",(120 x 109.9 cm.),16 Nov 2017,"2017 | LIVE AUCTION 14997
POST-WAR & CONTEMPORARY ART AFTERNOON SESSION"
GIORGIO DE CHIRICO ,1888,1978,Cavallo e cavaliere,1957,"GBP 15,000 - GBP 20,000","GBP 30,000",(20 x 30 cm.),14 Jul 2020,"26 Jun - 14 Jul 2020 | Online Auction 18872
Dialogues: Modern and Contemporary Art"
Cornelis Dusart ,Haarlem,1704,"A young man leaning on a chair, in the midst of telling a story",0,"GBP 8,000 – GBP 12,000","GBP 20,000",(30.5 x 21 cm.),2 Jul 2013,"2013 | LIVE AUCTION 1137
OLD MASTER & BRITISH DRAWINGS & WATERCOLOURS"
MICHEL COMTE ,0,0,"Helena Christensen, Safe sex campagne, 1993",0,"EUR 5,000 – EUR 7,000","EUR 6,250",(19 5/8 x 19 in.),1 Jul 2014,"2014 | LIVE AUCTION 3609
PHOTOGRAPHS, ICONS & STYLE"
DANTE GABRIEL ROSSETTI ,BRITISH,1882,"Study of Alexa Wilding, her head turned three-quarters to the right",0,"GBP 300,000 – GBP 500,000","GBP 350,000",(52 x 37 cm.),15 Jul 2021,"2021 | LIVE AUCTION 20111
BRITISH AND EUROPEAN ART"
JAN WEISSENBRUCH ,1824,1903,Panoramic view of a dune landscape,0,GBP 500 - GBP 800,GBP 625,(19.8 x 25.1 cm.),6 Dec 2018,"28 Nov - 6 Dec 2018 | Online Auction 16534
Old Master Works on Paper: Prints and Drawings for under £5,000"
WILLIAM H. BAILEY ,1930,2020,Untitled,0,USD 500 - USD 700,USD 750,(375 x 302 mm.),18 Nov 2021,"4 Nov - 18 Nov 2021 | Online Auction 20567
A Graphic Century - 1875-1975"
Joan Mitchell ,1925,1992,Untitled,1976,"USD 500,000 – USD 700,000","USD 876,500",(45.7 x 103.8 cm.),16 Nov 2017,"2017 | LIVE AUCTION 14996
POST-WAR & CONTEMPORARY ART MORNING SESSION"
Anselm Kiefer ,1945,0,Johannis,2007,"GBP 180,000 – GBP 250,000","GBP 314,500",(285 x 140cm.),12 Feb 2016,"2016 | LIVE AUCTION 11796
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Camille Pissarro ,1830,1903,"Le jardin de Maubuisson, vu vers la côte Saint-Denis, Pontoise",1876,"USD 1,000,000 – USD 1,500,000","USD 972,500",(59.6 x 73 cm.),11 Nov 2018,"2018 | LIVE AUCTION 15977
IMPRESSIONIST AND MODERN ART EVENING SALE INCLUDING PROPERTY FROM THE COLLECTION OF HERBERT AND ADELE KLAPPER"
Sam Moyer ,1983,0,Untitled,2013,"GBP 15,000 – GBP 20,000","GBP 17,500",(152.4 x 121.9cm.),2 Jul 2014,"2014 | LIVE AUCTION 1536
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
KEITH SONNIER ,0,0,Double Loop,1989,"USD 3,000 - USD 5,000","USD 5,000",(149.2 x 28.5 x 6.9 cm.),14 Dec 2017,"7 Dec - 14 Dec 2017 | Online Auction 15394
First Open | Post-War & Contemporary Art"
Kurt Schwitters ,1887,1948,Uernd,1947,"USD 60,000 – USD 80,000","USD 122,500",(22.5 x 17.8 cm.),8 Nov 2012,"2012 | LIVE AUCTION 2595
IMPRESSIONIST AND MODERN WORKS ON PAPER"
SYED HAIDER RAZA ,1922,2016,Untitled (Cityscape),1946,"GBP 4,000 – GBP 6,000","GBP 11,250",(17.7 x 25.4 cm.),25 May 2017,"2017 | LIVE AUCTION 13841
SOUTH ASIAN MODERN + CONTEMPORARY ART"
Jean Dufy ,1888,1964,Calèches et cavaliers,0,"USD 30,000 – USD 50,000","USD 37,500",(38 x 46.1 cm.),16 May 2017,"2017 | LIVE AUCTION 14186
IMPRESSIONIST AND MODERN ART DAY SALE"
"British School, 19th Century",0,0,Twickenham Ferry,0,"USD 5,000 – USD 7,000","USD 1,750",(76.2 x 127 cm.),24 Aug 2016,"2016 | LIVE AUCTION 12197
LIVING WITH ART"
Simon de Vos ,Antwerp,1676,The Lamentation,0,"GBP 8,000 – GBP 12,000","GBP 26,250",(36.8 x 44.8 cm.),9 Jul 2014,"2014 | LIVE AUCTION 1539
OLD MASTER & BRITISH PAINTINGS DAY SALE"
Antoine-Louis Barye ,1795,Louis,Tigre,0,"USD 15,000 – USD 20,000","USD 75,000",(11 x 22.4 cm.),5 Nov 2013,"2013 | LIVE AUCTION 3443
A DIALOGUE THROUGH ART: WORKS FROM THE JAN KRUGIER COLLECTION DAY SALE"
"Sir Edwin Henry Landseer, R.A. ",1802,1873,Otter Hunting,0,"GBP 250,000 – GBP 350,000","GBP 265,875",(147 x 239.4 cm.),11 Jul 2013,"2013 | LIVE AUCTION 1128
IMPORTANT VICTORIAN & BRITISH IMPRESSIONIST ART"
Odilon Redon ,1840,1916,Figure ailée portant une tête sur un plateau,0,"USD 18,000 – USD 25,000","USD 40,000",(32.5 x 25.2 cm.),8 Nov 2012,"2012 | LIVE AUCTION 2595
IMPRESSIONIST AND MODERN WORKS ON PAPER"
WALKER EVANS ,0,0,"Couple at Coney Island, New York, 1928",0,"USD 5,000 - USD 7,000","USD 1,875",(23.4 x 16.2 cm.),19 Jul 2018,"9 Jul - 19 Jul 2018 | Online Auction 16653
MoMA: Tracing Photography's History"
René Magritte ,1898,1967,Sans titre,0,"GBP 2,500 – GBP 3,500","GBP 4,750",(20.9 x 16.2 cm.),19 Jun 2019,"2019 | LIVE AUCTION 17192
IMPRESSIONIST AND MODERN WORKS ON PAPER"
Alejandro Obregón ,1920,1992,Hummingbird,0,"USD 25,000 – USD 35,000","USD 25,000",(30.5 x 50.2 cm.),19 May 2021,"2021 | LIVE AUCTION 19602
LATIN AMERICAN ART"
MARK ROTHKO ,1903,1970,Untitled,1961,"USD 2,500,000 – USD 3,500,000","USD 8,489,500",(60.6 x 45.7 cm.),12 Nov 2021,"2021 | LIVE AUCTION 20097
POST-WAR AND CONTEMPORARY ART DAY SALE"
George Chinnery ,1774,1852,The Waterfront at Canton with the Western Factories,0,"GBP 4,000 – GBP 6,000","GBP 4,750",(8.8 x 19.3cm.),7 Nov 2019,"2019 | LIVE AUCTION 18840
CHINA TRADE PAINTINGS: SELECTIONS FROM THE KELTON COLLECTION"
EADWEARD MUYBRIDGE ,1830,1904,"Animal Locomotion, 1887",0,"USD 18,000 – USD 22,000","USD 22,500",(26 x 26cm.),31 Mar 2015,"2015 | LIVE AUCTION 3725
20/21 PHOTOGRAPHS/ LEAVES OF LIGHT AND SHADOW: PHOTOGRAPHS GATHERED BY WILLIAM T. HILLMAN"
Dan Holdsworth ,B,print,"Hyperborea, 09, 2006",2006,"GBP 2,500 - GBP 3,500","GBP 2,500",(122 x 152cm.),29 Jun 2018,"20 Jun - 29 Jun 2018 | Online Auction 17018
Handpicked: 50 works selected by the Saatchi Collection - Online Only"
Milton Avery ,1885,1965,Evening Beach,1941,"USD 70,000 – USD 100,000","USD 146,500",(61 x 45.7 cm.),27 Feb 2013,"2013 | LIVE AUCTION 2681
AMERICAN ART"
ROY LICHTENSTEIN ,1923,1997,Expressionist Head,1980,"USD 2,500,000 – USD 3,500,000","USD 2,670,000",(140 x 102.6 x 45.7 cm.),11 Nov 2021,"2021 | LIVE AUCTION 20180
20TH CENTURY EVENING SALE"
DUANE MICHALS ,B,five,"Illuminated Man, 1968",0,"USD 2,000 - USD 3,000","USD 4,750",(12.3 x 18.4 cm.),14 Oct 2020,"5 Oct - 14 Oct 2020 | Online Auction 19790
The Unseen Eye: Photographs from the W.M. Hunt Collection"
Georg Baselitz ,1938,0,Dreieck zwischen Arm und Rumpf (Triangle between Arm and Torso),1977,"GBP 1,200,000 – GBP 1,800,000","GBP 1,568,750",(250 x 200cm.),6 Oct 2017,"2017 | LIVE AUCTION 14442
POST-WAR AND CONTEMPORARY ART EVENING AUCTION"
Morris Cole Graves ,1910,2001,Tibetan (Wild Herb),1962,"USD 2,000 - USD 3,000","USD 1,875",(40.6 x 24.8 cm.),21 Nov 2017,"14 Nov - 21 Nov 2017 | Online Auction 14317
American Art Online"
Gerhard Richter ,1932,0,Besetztes Haus (Squatter's House),1990,"GBP 1,000 – GBP 2,000","GBP 6,250",(43 x 60cm.),26 Mar 2014,"2014 | LIVE AUCTION 5585
POST-WAR AND CONTEMPORARY ART"
Theodore J. Richardson ,1855,1914,"Sitka, Alaska",0,"GBP 3,000 – GBP 5,000","GBP 2,750",(38.8 x 57.1cm.),29 Oct 2019,"2019 | LIVE AUCTION 17707
TOPOGRAPHICAL PICTURES INCLUDING SELECTIONS FROM THE KELTON COLLECTION"
Francis Swaine ,London,1783,An Admiralty Yacht getting underway from her anchorage,0,"GBP 1,000 – GBP 1,500",GBP 875,(20.3 x 25.3 cm.),20 Nov 2013,"2013 | LIVE AUCTION 9679
MARITIME ART"
JACOB JORDAENS ,ANTWERP,1678,The Miracles of Saint Dominic - a modello,0,"GBP 30,000 - GBP 50,000","GBP 35,000",(75.6 x 60.3 cm.),17 Dec 2020,"26 Nov - 17 Dec 2020 | Online Auction 18877
Old Master Paintings & Sculpture Online"
Simeon Solomon ,1840,1905,Portrait of a young woman,0,"GBP 4,000 – GBP 6,000","GBP 3,750",(47 x 38.1 cm.),11 Jul 2017,"2017 | LIVE AUCTION 14232
VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART"
On Kawara ,1932,2014,"AUG. 31, 1999",1999,"GBP 450,000 – GBP 650,000","GBP 572,750",(46 x 61cm.),5 Oct 2018,"2018 | LIVE AUCTION 15486
POST WAR AND CONTEMPORARY ART DAY AUCTION"
Salvador Dalí ,1904,1989,Dessin érotique,0,"GBP 4,000 – GBP 6,000","GBP 10,000",(16.4 x 12 cm.),5 Feb 2015,"2015 | LIVE AUCTION 10335
IMPRESSIONIST/MODERN WORKS ON PAPER"
ROBERT MOTHERWELL ,1915,1991,Monster,0,"USD 3,000 - USD 5,000","USD 11,250",(1064 x 787 mm.),20 Jul 2021,"9 Jul - 20 Jul 2021 | Online Auction 20015
Contemporary Edition"
"MONTAGUE DAWSON, F.R.S.A., R.S.M.A. ",BRITISH,1973,The 'Old Windjammer' - an Aging Beauty Running Down the Coast,0,"USD 40,000 - USD 60,000","USD 50,000",(50.8 x 76.2 cm.),16 Oct 2020,"1 Oct - 16 Oct 2020 | Online Auction 19029
European Art Part II"
Alexandre Marie Colin ,French,1875,A maiden waiting by the shore,0,"GBP 2,000 – GBP 4,000","GBP 2,500",(40.5 x 32 cm.),29 Jan 2014,"2014 | LIVE AUCTION 5123
19TH CENTURY EUROPEAN ART INCLUDING ORIENTALIST ART"
ISAMU NOGUCHI ,1904,1988,The Comb,1962,"USD 800,000 – USD 1,200,000","USD 1,290,000",(118.1 x 68.6 x 8.9 cm.),11 Nov 2021,"2021 | LIVE AUCTION 20180
20TH CENTURY EVENING SALE"
William Trost Richards ,1833,1905,Autumn Woods,1865,"USD 100,000 – USD 150,000","USD 206,250",(45.7 x 35.6 cm.),20 Nov 2019,"2019 | LIVE AUCTION 17661
AMERICAN ART"
"English School, 20th century",0,0,Costume design for a 'Wilis' in Giselle,0,GBP 200 - GBP 300,GBP 750,(34.5 x 25.4 cm.),4 Aug 2020,"14 Jul - 4 Aug 2020 | Online Auction 18852
An Aristocratic Château on the Côte d’Azur"
George Edward Lodge ,1860,1954,A solitary blackcock on a rocky outcrop,0,"GBP 2,500 – GBP 3,500","GBP 5,000",(29.2 x 43.2 cm.),15 Dec 2017,"2017 | LIVE AUCTION 15544
THE ASTOR COLLECTION FROM TILLYPRONIE, ABERDEENSHIRE"
"Henry Scott Tuke, R.A., R.W.S. ",1858,1929,Two boys resting by a boat on the shore,0,"GBP 5,000 – GBP 7,000","GBP 6,250",(17.8 x 25.7 cm.),14 Nov 2013,"2013 | LIVE AUCTION 9603
VICTORIAN, BRITISH AND IMPRESSIONIST ART"
PABLO PICASSO ,1881,1973,Modèle au repos dans un fauteil,0,"USD 5,000 – USD 7,000","USD 8,750",(384 x 302 mm.),15 Jul 2015,"2015 | LIVE AUCTION 3756
FIRST IMPRESSION"
Jean-Michel Basquiat ,1960,Michel,Untitled,1984,"USD 500,000 – USD 700,000","USD 561,000",(76.2 x 56.3 cm.),14 Nov 2019,"2019 | LIVE AUCTION 17651
POST-WAR AND CONTEMPORARY ART AFTERNOON SESSION"
WASSILY KANDINSKY ,1866,1944,Orange,0,"USD 40,000 – USD 60,000","USD 70,000",(as is common),27 Apr 2016,"2016 | LIVE AUCTION 12207
PRINTS & MULTIPLES"
JUSTINE KURLAND ,B,20,"I-20, California, 2000",0,"USD 2,000 - USD 3,000","USD 1,250",(32.3 x 48.2 cm.),28 Oct 2020,"19 Oct - 28 Oct 2020 | Online Auction 19792
Aperture"
CELIA PAUL ,0,0,A small group of portraits of the Artist's Mother (Four Works),0,"GBP 800 - GBP 1,200","GBP 1,000",(and similar),26 Sep 2018,"14 Sep - 26 Sep 2018 | Online Auction 16533
Contemporary Edition"
Frank C. McCarthy ,1924,2002,Along The Rim; The Column Came,0,"USD 50,000 – USD 70,000","USD 52,500",(61 x 91 cm.),21 May 2015,"2015 | LIVE AUCTION 11735
VISIONS OF THE WEST: AMERICAN PAINTINGS FROM THE WILLIAM I. KOCH COLLECTION"
Fernando Botero ,1932,0,Dancing Couple,2006,"USD 600,000 – USD 800,000","USD 725,000",(110.5 x 66 x 53.3 cm.),28 May 2015,"2015 | LIVE AUCTION 3745
LATIN AMERICAN ART"
Geraldine Jacoba Sande De Van Bakhuyzen ,Dutch,1895,A Summer bouquet,0,"GBP 5,000 – GBP 7,000","GBP 6,250",(23 x 28.5 cm.),29 Jan 2014,"2014 | LIVE AUCTION 5123
19TH CENTURY EUROPEAN ART INCLUDING ORIENTALIST ART"
Jeffrey Steele ,1931,0,Lolovo,1964,"GBP 8,000 – GBP 12,000","GBP 14,375",(30.5 x 40.7 cm.),20 Nov 2018,"2018 | LIVE AUCTION 15482
MODERN BRITISH ART DAY SALE"
Patrick Heron ,1920,1999,June 16: 1988: II,0,"GBP 7,000 – GBP 10,000","GBP 7,500",(30.5 x 40 in.),29 Sep 2020,"2020 | LIVE AUCTION 18873
MODERN BRITISH ART"
Armando Mariño ,1968,0,Espectador común,1999,"USD 3,000 - USD 5,000","USD 8,750",(189 x 160 cm.),23 Jul 2021,"9 Jul - 23 Jul 2021 | Online Auction 19603
Latin American Art Online"
BRUCE NAUMAN ,0,0,"Help Me Hurt Me, from Sundry Obras Nuevas",0,"USD 12,000 – USD 18,000","USD 37,500",(914 x 1265 mm.),1 Mar 2017,"2017 | LIVE AUCTION 14544
CONTEMPORARY EDITION"
HENRI CARTIER-BRESSON ,1908,BRESSON,"Simiane, La Rotonde, 1970",0,"EUR 10,000 – EUR 15,000","EUR 17,500",(7 7/8 x 11.6/8 in.),10 Nov 2017,"2017 | LIVE AUCTION 15061
PHOTOGRAPHIES"
Guy Pène du Bois ,1884,1958,Sonia,0,"USD 20,000 – USD 30,000","USD 20,000",(40.6 x 30.5 cm.),26 Feb 2014,"2014 | LIVE AUCTION 2822
AMERICAN ART"
MARTA HOEPFFNER ,0,0,"Selbstbildnis (Solarisation), 1938",0,"USD 10,000 – USD 15,000","USD 17,500",(36.1 x 29.5 cm.),2 Oct 2019,"2019 | LIVE AUCTION 17600
PHOTOGRAPHS"
"William Wyld, R.I. ",1806,1889,"The Grand Canal, Venice",0,"GBP 5,000 – GBP 8,000","GBP 12,500",(53.3 x 86.3 cm.),20 Jun 2013,"2013 | LIVE AUCTION 8981
VICTORIAN, BRITISH AND IMPRESSIONIST ART"
Luisa Lambri ,1969,0,Untitled (Ministerio da Educacón y Salud) #2,2003,"USD 2,000 - USD 3,000","USD 1,625",(118.1 x 142.9 cm.),18 Dec 2019,"9 Dec - 18 Dec 2019 | Online Auction 17637
First Open | Online"
LUCAS VAN LEYDEN ,1494,1533,Saint Luke,0,"GBP 1,200 - GBP 1,800","GBP 1,375",(B. 104),3 Jul 2019,"27 Jun - 3 Jul 2019 | Online Auction 16229
Three Northern Masters"
DIANE ARBUS ,1923,1971,"Untitled (7), 1970-1971",0,"USD 8,000 – USD 12,000","USD 11,250",(37.4 x 36.8 cm.),6 Apr 2021,"2021 | LIVE AUCTION 19672
PHOTOGRAPHS"
YVES KLEIN ,1928,1962,Petite Vénus Bleue,1956,"USD 6,000 - USD 8,000","USD 10,000",(5.7 x 2.5 cm.),16 Nov 2017,"9 Nov - 16 Nov 2017 | Online Auction 14937
Art as Jewellery"
Lucio Fontana ,1899,1968,Concetto spaziale,1959,"GBP 6,000 – GBP 8,000","GBP 21,250",(11.5 x 9cm.),25 Sep 2014,"2014 | LIVE AUCTION 5935
FIRST OPEN/LDN"
AN ENGLISH MYTHOLOGICAL TAPESTRY,0,0,"MORTLAKE, SECOND HALF 17TH CENTURY",0,"GBP 4,000 – GBP 6,000","GBP 4,750",(311 x 250 cm.),15 Dec 2017,"2017 | LIVE AUCTION 15544
THE ASTOR COLLECTION FROM TILLYPRONIE, ABERDEENSHIRE"
Jean Dubuffet ,1901,1985,Michel Tapié Condottiere,1946,"USD 100,000 – USD 150,000","USD 100,000",(41 x 30.5 cm.),27 Sep 2019,"2019 | LIVE AUCTION 17647
POST-WAR TO PRESENT"
