Title,Date,Type,Total Sales,Location,URL
Photographs,19 May – 3 June,ONLINE AUCTION ,"USD 2,422,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28889&SaleNumber=19581
The Collector: Online,11 May – 1 June,ONLINE AUCTION ,"GBP 1,152,000",LONDON,https://onlineonly.christies.com/sso?SaleID=28872&SaleNumber=19560
Collection Edmond Cormier-Thierry-Delanoue (1879-1960),13 – 29 May,ONLINE AUCTION ,"EUR 1,425,875",PARIS,https://onlineonly.christies.com/sso?SaleID=28682&SaleNumber=18931
Handpicked: 100 Works Selected by the Saatchi Gallery,12 – 28 May,ONLINE AUCTION ,"GBP 490,750",LONDON,https://onlineonly.christies.com/sso?SaleID=28875&SaleNumber=19564
La Vie en Rose,12 – 28 May,ONLINE AUCTION ,"USD 2,339,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28885&SaleNumber=19577
Dessins Anciens et du XIXème siècle,27-May,LIVE AUCTION ,"EUR 2,447,500",PARIS,https://www.christies.com/en/auction/dessins-anciens-et-du-xix-me-si-cle-28435/
Vice,12 – 27 May,ONLINE AUCTION ,"USD 2,097,250",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28883&SaleNumber=19574
Picasso Ceramics,5 – 20 May,ONLINE AUCTION ,"USD 751,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28460&SaleNumber=18333
First Open | Online,30 April – 15 May,ONLINE AUCTION ,"USD 1,668,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28888&SaleNumber=19580
Working from Home: Prints and Multiples,30 April – 14 May,ONLINE AUCTION ,"USD 1,899,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28881&SaleNumber=19570
From Pictorialism into Modernism: 80 Years of Photography,30 April – 13 May,ONLINE AUCTION ,"USD 301,250",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28732&SaleNumber=18987
Andy Warhol: Better Days,28 April – 6 May,ONLINE AUCTION ,"USD 272,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28876&SaleNumber=19565
Walker Evans: An American Master,21 – 29 April,ONLINE AUCTION ,"USD 90,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28870&SaleNumber=19557
Australian Art-Online,12 – 19 March,ONLINE AUCTION ,"GBP 298,500",LONDON,https://onlineonly.christies.com/sso?SaleID=28426&SaleNumber=18232
"Chieveley House, Berkshire and Five Private Collections",19-Mar,LIVE AUCTION ,"GBP 1,673,250",LONDON,https://www.christies.com/en/auction/chieveley-house-berkshire-and-five-private-collections-28605/
Prints & Multiples,18-Mar,LIVE AUCTION ,"GBP 3,751,750",LONDON,https://www.christies.com/en/auction/prints-multiples-28144/
Post-War to Present,5-Mar,LIVE AUCTION ,"USD 21,956,750",NEW YORK,https://www.christies.com/en/auction/post-war-to-present-28532/
Contemporary Edition,4-Mar,LIVE AUCTION ,"USD 2,385,750",NEW YORK,https://www.christies.com/en/auction/contemporary-edition-28454/
First Open: Post-War and Contemporary Art Online,7 – 18 February,ONLINE AUCTION ,"GBP 1,121,625",LONDON,https://onlineonly.christies.com/sso?SaleID=28509&SaleNumber=18459
Post-War and Contemporary Art Day Sale,13-Feb,LIVE AUCTION ,"GBP 15,392,750",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-sale-28475/
Post-War and Contemporary Art Evening Sale,12-Feb,LIVE AUCTION ,"GBP 56,180,434",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-evening-sale-28474/
Picasso Ceramics,30 January – 7 February,ONLINE AUCTION ,"GBP 1,285,000",LONDON,https://onlineonly.christies.com/sso?SaleID=28220&SaleNumber=17515
Impressionist & Modern Art Day Sale,6-Feb,LIVE AUCTION ,"GBP 15,563,500",LONDON,https://www.christies.com/en/auction/impressionist-modern-art-day-sale-28468/
Impressionist and Modern Works on Paper,6-Feb,LIVE AUCTION ,"GBP 5,061,625",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-works-on-paper-28467/
Christie's 100,28 January – 5 February,ONLINE AUCTION ,"USD 340,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28781&SaleNumber=19045
Impressionist and Modern Art Evening Sale,5-Feb,LIVE AUCTION ,"GBP 62,890,326",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-art-evening-sale-28465/
The Art Of The Surreal Evening Sale,5-Feb,LIVE AUCTION ,"GBP 43,935,250",LONDON,https://www.christies.com/en/auction/the-art-of-the-surreal-evening-sale-28466/
Old Master & British Drawings Including Works from the Collection of Jean Bonna,28-Jan,LIVE AUCTION ,"USD 5,540,750",NEW YORK,https://www.christies.com/en/auction/old-master-british-drawings-including-works-from-the-collection-of-jean-bonna-28391/
The Delighted Eye: Works from the Collection of Allen and Beryl Freer,23-Jan,LIVE AUCTION ,"GBP 2,255,875",LONDON,https://www.christies.com/en/auction/the-delighted-eye-works-from-the-collection-of-allen-and-beryl-freer-28780/
Modern British Art Day Sale,22-Jan,LIVE AUCTION ,"GBP 4,784,000",LONDON,https://www.christies.com/en/auction/modern-british-art-day-sale-28114/
Modern British Art Evening Sale,21-Jan,LIVE AUCTION ,"GBP 7,772,000",LONDON,https://www.christies.com/en/auction/modern-british-art-evening-sale-28120/
First Open | Online,9 – 18 December,ONLINE AUCTION ,"USD 3,950,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28293&SaleNumber=17637
Property from descendants of Their Majesties King George V and Queen Mary,13-Dec,LIVE AUCTION ,"GBP 1,740,000",LONDON,https://www.christies.com/en/auction/property-from-descendants-of-their-majesties-king-george-v-and-queen-mary-28361/
"British Art: Victorian, Pre-Raphaelite & British Impressionist Art",12-Dec,LIVE AUCTION ,"GBP 4,124,750",LONDON,https://www.christies.com/en/auction/british-art-victorian-pre-raphaelite-british-impressionist-art-28131/
European Art: 19th Century & Orientalist Art,12-Dec,LIVE AUCTION ,"GBP 1,818,250",LONDON,https://www.christies.com/en/auction/european-art-19th-century-orientalist-art-28132/
IN THE FIELD - An Important Private Collection of Sporting Art,12-Dec,LIVE AUCTION ,"GBP 2,617,375",LONDON,https://www.christies.com/en/auction/in-the-field-an-important-private-collection-of-sporting-art-28596/
Fashion Photo,2 – 11 December,ONLINE AUCTION ,"USD 146,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28792&SaleNumber=19093
Ansel Adams and the American West: Photographs from the Center for Creative Photography,10-Dec,LIVE AUCTION ,"USD 1,098,250",NEW YORK,https://www.christies.com/en/auction/ansel-adams-and-the-american-west-photographs-from-the-center-for-creative-photography-28800/
Old Master Prints,10-Dec,LIVE AUCTION ,"GBP 2,041,612",LONDON,https://www.christies.com/en/auction/old-master-prints-28142/
A South American Private Collection,5-Dec,LIVE AUCTION ,"GBP 1,578,125",LONDON,https://www.christies.com/en/auction/a-south-american-private-collection-28362/
Old Master Drawings Online,27 November – 5 December,ONLINE AUCTION ,"GBP 485,500",LONDON,https://onlineonly.christies.com/sso?SaleID=28336&SaleNumber=17704
Old Master Paintings and Sculpture,4-Dec,LIVE AUCTION ,"GBP 3,584,250",LONDON,https://www.christies.com/en/auction/old-master-paintings-and-sculpture-28130/
Post-War and Contemporary Art vente du jour,4-Dec,LIVE AUCTION ,"EUR 5,517,875",PARIS,https://www.christies.com/en/auction/post-war-and-contemporary-art-vente-du-jour-27570/
Old Masters Evening Sale,3-Dec,LIVE AUCTION ,"GBP 24,218,000",LONDON,https://www.christies.com/en/auction/old-masters-evening-sale-28128/
Post-War and Contemporary Art vente du soir,3-Dec,LIVE AUCTION ,"EUR 12,411,250",PARIS,https://www.christies.com/en/auction/post-war-and-contemporary-art-vente-du-soir-28343/
Un hôtel particulier à Genève. Architecture et décor par François-Joseph Graf,27-Nov,LIVE AUCTION ,"EUR 1,715,562",PARIS,https://www.christies.com/en/auction/un-h-tel-particulier-gen-ve-architecture-et-d-cor-par-fran-ois-joseph-graf-28322/
Latin American Art Online,16 – 26 November,ONLINE AUCTION ,"USD 578,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28314&SaleNumber=17664
Post-War & Contemporary Art,25 – 26 November,LIVE AUCTION ,"EUR 8,355,625",AMSTERDAM,https://www.christies.com/en/auction/post-war-contemporary-art-28351/
Latin American Art,20 – 21 November,LIVE AUCTION ,"USD 26,014,250",NEW YORK,https://www.christies.com/en/auction/latin-american-art-28315/
Modern | British Art,21-Nov,LIVE AUCTION ,"GBP 2,338,250",LONDON,https://www.christies.com/en/auction/modern-british-art-28463/
Outside In: The Dr. Jeffrey Sherwin Collection,21-Nov,LIVE AUCTION ,"GBP 917,250",LONDON,https://www.christies.com/en/auction/outside-in-the-dr-jeffrey-sherwin-collection-28614/
"The Ross Collection From Knockmore, Enniskerry, Wicklow, Part II",14 – 21 November,ONLINE AUCTION ,"GBP 91,875",LONDON,https://onlineonly.christies.com/sso?SaleID=28449&SaleNumber=18273
American Art,20-Nov,LIVE AUCTION ,"USD 21,895,250",NEW YORK,https://www.christies.com/en/auction/american-art-28312/
American Art Online,14 – 20 November,ONLINE AUCTION ,"USD 2,125,125",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28311&SaleNumber=17662
Post-War and Contemporary Art Afternoon Session,14-Nov,LIVE AUCTION ,"USD 40,179,100",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-afternoon-session-28303/
Post-War and Contemporary Art Morning Session,14-Nov,LIVE AUCTION ,"USD 76,922,125",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-morning-session-28301/
Modern Edition,6 – 13 November,ONLINE AUCTION ,"USD 253,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28179&SaleNumber=17460
Picasso Ceramics,6 – 13 November,ONLINE AUCTION ,"USD 1,772,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28059&SaleNumber=17126
Post-War and Contemporary Art Evening Sale,13-Nov,LIVE AUCTION ,"USD 325,259,750",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-evening-sale-28304/
"The Collector: European and English Furniture, Ceramics, Portrait Miniatures & Works of Art",13-Nov,LIVE AUCTION ,"GBP 5,729,375",LONDON,https://www.christies.com/en/auction/the-collector-european-and-english-furniture-ceramics-portrait-miniatures-works-of-art-28084/
Impressionist and Modern Art Day Sale,12-Nov,LIVE AUCTION ,"USD 24,183,125",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-day-sale-28310/
Impressionist and Modern Art Works on Paper,12-Nov,LIVE AUCTION ,"USD 12,171,625",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-works-on-paper-28309/
Impressionist and Modern Art Evening Sale,11-Nov,LIVE AUCTION ,"USD 191,911,500",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-evening-sale-28308/
China Trade Paintings: Selections from the Kelton Collection,7-Nov,LIVE AUCTION ,"GBP 1,616,500",LONDON,https://www.christies.com/en/auction/china-trade-paintings-selections-from-the-kelton-collection-28601/
Photographies,5-Nov,LIVE AUCTION ,"EUR 2,821,875",PARIS,https://www.christies.com/en/auction/photographies-28341/
Fifth Avenue Grandeur: Important French Furniture from the Collection of Lewis and Ali Sanders,29-Oct,LIVE AUCTION ,"USD 2,126,875",NEW YORK,https://www.christies.com/en/auction/fifth-avenue-grandeur-important-french-furniture-from-the-collection-of-lewis-and-ali-sanders-28434/
Old Master Paintings and Sculpture,29-Oct,LIVE AUCTION ,"USD 13,062,750",NEW YORK,https://www.christies.com/en/auction/old-master-paintings-and-sculpture-28302/
Old Masters: Property from a Private Collection,29-Oct,LIVE AUCTION ,"USD 3,230,250",NEW YORK,https://www.christies.com/en/auction/old-masters-property-from-a-private-collection-28684/
The Exceptional Sale,29-Oct,LIVE AUCTION ,"USD 9,340,750",NEW YORK,https://www.christies.com/en/auction/the-exceptional-sale-28185/
Topographical Pictures including Selections from the Kelton Collection,29-Oct,LIVE AUCTION ,"GBP 2,971,000",LONDON,https://www.christies.com/en/auction/topographical-pictures-including-selections-from-the-kelton-collection-28340/
European Art Part I,28-Oct,LIVE AUCTION ,"USD 17,545,000",NEW YORK,https://www.christies.com/en/auction/european-art-part-i-28306/
European Art Part II,28-Oct,LIVE AUCTION ,"USD 2,377,875",NEW YORK,https://www.christies.com/en/auction/european-art-part-ii-28305/
Graphicstudio Online,17 – 24 October,ONLINE AUCTION ,"USD 39,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28264&SaleNumber=17612
"Middle Eastern, Modern and Contemporary Art",23-Oct,LIVE AUCTION ,"GBP 3,108,250",LONDON,https://www.christies.com/en/auction/middle-eastern-modern-and-contemporary-art-28116/
Prints & Multiples,22 – 23 October,LIVE AUCTION ,"USD 10,287,750",NEW YORK,https://www.christies.com/en/auction/prints-multiples-28060/
Art Moderne,18-Oct,LIVE AUCTION ,"EUR 12,237,625",PARIS,https://www.christies.com/en/auction/art-moderne-28327/
Paris Avant-Garde,17-Oct,LIVE AUCTION ,"EUR 46,389,500",PARIS,https://www.christies.com/en/auction/paris-avant-garde-28328/
The Collector: Property from Four American Collections,16-Oct,LIVE AUCTION ,"USD 2,104,250",NEW YORK,https://www.christies.com/en/auction/the-collector-property-from-four-american-collections-28571/
The Royal House of Savoy,15-Oct,LIVE AUCTION ,"GBP 1,903,500",LONDON,https://www.christies.com/en/auction/the-royal-house-of-savoy-28201/
Post-War and Contemporary Art Day Auction,5-Oct,LIVE AUCTION ,"GBP 16,143,750",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-auction-28108/
Post-War and Contemporary Art Evening Auction,4-Oct,LIVE AUCTION ,"GBP 64,507,125",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-evening-auction-28106/
Thinking Italian Evening Auction,4-Oct,LIVE AUCTION ,"GBP 24,570,000",LONDON,https://www.christies.com/en/auction/thinking-italian-evening-auction-28107/
Photographs,2-Oct,LIVE AUCTION ,"USD 6,015,000",NEW YORK,https://www.christies.com/en/auction/photographs-28255/
The Jeremy Lancaster Collection,1-Oct,LIVE AUCTION ,"GBP 23,013,250",LONDON,https://www.christies.com/en/auction/the-jeremy-lancaster-collection-28543/
Post-War to Present,27-Sep,LIVE AUCTION ,"USD 22,844,875",NEW YORK,https://www.christies.com/en/auction/post-war-to-present-28298/
Thirtyfive Works by Ed Ruscha,27-Sep,LIVE AUCTION ,"USD 7,516,500",NEW YORK,https://www.christies.com/en/auction/thirtyfive-works-by-ed-ruscha-28299/
Contemporary Edition,11 – 25 September,ONLINE AUCTION ,"GBP 491,875",LONDON,https://onlineonly.christies.com/sso?SaleID=28038&SaleNumber=17020
Banksy: I can't believe you morons actually buy this sh*t,11 – 24 September,ONLINE AUCTION ,"GBP 1,122,750",LONDON,https://onlineonly.christies.com/sso?SaleID=28507&SaleNumber=18446
20th Century & Contemporary Art (Evening Sale),21-Sep,LIVE AUCTION ,"CNY 124,116,000",SHANGHAI,https://www.christies.com/en/auction/20th-century-contemporary-art-evening-sale-28240/
FIRST OPEN | Shanghai: Living With Art,21-Sep,LIVE AUCTION ,"CNY 9,404,400",SHANGHAI,https://www.christies.com/en/auction/first-open-shanghai-living-with-art-28239/
First Open | Online,11 – 19 September,ONLINE AUCTION ,"GBP 1,450,625",LONDON,https://onlineonly.christies.com/sso?SaleID=28330&SaleNumber=17697
"Visions of Collecting: Royal and Aristocratic, An Important Private Collection",19-Sep,LIVE AUCTION ,"GBP 3,111,375",LONDON,https://www.christies.com/en/auction/visions-of-collecting-royal-and-aristocratic-an-important-private-collection-28139/
Prints & Multiples,18-Sep,LIVE AUCTION ,"GBP 3,614,125",LONDON,https://www.christies.com/en/auction/prints-multiples-28014/
Swiss Art,17-Sep,LIVE AUCTION ,"CHF 6,810,438",ZÜRICH,https://www.christies.com/en/auction/swiss-art-28159/
Interiors Including Posters,11-Sep,LIVE AUCTION ,"GBP 1,657,063",LONDON,https://www.christies.com/en/auction/interiors-including-posters-28076/
Dylan Lewis: Shapeshifting,10-Sep,LIVE AUCTION ,"GBP 1,790,750",LONDON,https://www.christies.com/en/auction/dylan-lewis-shapeshifting-28075/
Chinese and Japanese Export Silver Online: Property from the Collection of Myrna and Bernard Posner,15 – 22 August,ONLINE AUCTION ,"USD 245,000",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28522&SaleNumber=18503
Interiors,21 – 22 August,LIVE AUCTION ,"USD 2,331,375",NEW YORK,https://www.christies.com/en/auction/interiors-28156/
Christie's Watches Online: The Keystone Collection,30 July – 13 August,ONLINE AUCTION ,"USD 1,420,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28232&SaleNumber=17564
Art from Within: Staff Show,31 July – 8 August,ONLINE AUCTION ,"GBP 7,800",LONDON,https://onlineonly.christies.com/sso?SaleID=28496&SaleNumber=18393
Inside Job: Christie's Staff Art Show,25 July – 5 August,ONLINE AUCTION ,"USD 35,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28453&SaleNumber=18303
"Photographs: New York, New York",16 – 24 July,ONLINE AUCTION ,"USD 76,375",NEW YORK,https://onlineonly.christies.com/sso?SaleID=27823&SaleNumber=16398
First Open | Online,9 – 17 July,ONLINE AUCTION ,"USD 4,605,875",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28167&SaleNumber=17443
Contemporary Edition,9 – 16 July,ONLINE AUCTION ,"USD 1,686,750",NEW YORK,https://onlineonly.christies.com/sso?SaleID=27961&SaleNumber=16783
British & European Art: European Art,11-Jul,LIVE AUCTION ,"GBP 2,117,750",LONDON,https://www.christies.com/en/auction/british-european-art-european-art-28100/
"British & European Art: Victorian, Pre-Raphaelite & British Impressionist Art",11-Jul,LIVE AUCTION ,"GBP 7,189,625",LONDON,https://www.christies.com/en/auction/british-european-art-victorian-pre-raphaelite-british-impressionist-art-28098/
Old Masters Day Sale,5-Jul,LIVE AUCTION ,"GBP 4,083,750",LONDON,https://www.christies.com/en/auction/old-masters-day-sale-28094/
Old Masters Evening Sale,4-Jul,LIVE AUCTION ,"GBP 14,933,250",LONDON,https://www.christies.com/en/auction/old-masters-evening-sale-28095/
The Exceptional Sale,4-Jul,LIVE AUCTION ,"GBP 9,557,500",LONDON,https://www.christies.com/en/auction/the-exceptional-sale-28052/
Gold Boxes,3-Jul,LIVE AUCTION ,"GBP 1,145,000",LONDON,https://www.christies.com/en/auction/gold-boxes-28096/
"Three Northern Masters, Online",27 June – 3 July,ONLINE AUCTION ,"GBP 491,625",LONDON,https://onlineonly.christies.com/sso?SaleID=27730&SaleNumber=16229
Old Master and British Drawings and Watercolours Including Works from the Collection of Jean Bonna,2-Jul,LIVE AUCTION ,"GBP 3,374,125",LONDON,https://www.christies.com/en/auction/old-master-and-british-drawings-and-watercolours-including-works-from-the-collection-of-jean-bonna-28053/
Post-War and Contemporary Art Day Auction,26-Jun,LIVE AUCTION ,"GBP 12,663,250",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-day-auction-28093/
Post-War and Contemporary Art Evening Auction,25-Jun,LIVE AUCTION ,"GBP 45,179,450",LONDON,https://www.christies.com/en/auction/post-war-and-contemporary-art-evening-auction-28419/
Tableaux anciens et du XIXème siècle,25-Jun,LIVE AUCTION ,"EUR 3,506,625",PARIS,https://www.christies.com/en/auction/tableaux-anciens-et-du-xix-me-si-cle-28249/
Picasso Ceramics,13 – 21 June,ONLINE AUCTION ,"GBP 949,250",LONDON,https://onlineonly.christies.com/sso?SaleID=28034&SaleNumber=17006
The Landscape of a Mind: A Private Collector's Surreal Vision,20-Jun,LIVE AUCTION ,"GBP 2,055,000",LONDON,https://www.christies.com/en/auction/the-landscape-of-a-mind-a-private-collector-s-surreal-vision-28523/
Icons of Glamour & Style : The Constantiner Collection,19-Jun,LIVE AUCTION ,"EUR 2,643,625",PARIS,https://www.christies.com/en/auction/icons-of-glamour-style-the-constantiner-collection-28248/
Impressionist & Modern Art Day Sale,19-Jun,LIVE AUCTION ,"GBP 6,560,625",LONDON,https://www.christies.com/en/auction/impressionist-modern-art-day-sale-28092/
Impressionist and Modern Works on Paper,19-Jun,LIVE AUCTION ,"GBP 5,079,375",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-works-on-paper-28091/
Impressionist and Modern Art Evening Sale,18-Jun,LIVE AUCTION ,"GBP 36,413,750",LONDON,https://www.christies.com/en/auction/impressionist-and-modern-art-evening-sale-28090/
Modern British Art Day Sale,18-Jun,LIVE AUCTION ,"GBP 5,802,625",LONDON,https://www.christies.com/en/auction/modern-british-art-day-sale-28089/
Modern British Art Evening Sale,17-Jun,LIVE AUCTION ,"GBP 17,477,500",LONDON,https://www.christies.com/en/auction/modern-british-art-evening-sale-28088/
The Collection of Drue Heinz Townhouses in London and New York with interiors by John Fowler and Renzo Mongiardino,4-Jun,LIVE AUCTION ,"GBP 4,096,750",LONDON,https://www.christies.com/en/auction/the-collection-of-drue-heinz-townhouses-in-london-and-new-york-with-interiors-by-john-fowler-and-renzo-mongiardino-28363/
COLLECTION ANNE TRONCHE - La forme d'un regard,3-Jun,LIVE AUCTION ,"EUR 2,209,000",PARIS,https://www.christies.com/en/auction/collection-anne-tronche-la-forme-d-un-regard-28421/
Latin American Art Online,18 – 29 May,ONLINE AUCTION ,"USD 413,250",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28101&SaleNumber=17204
20th Century & Contemporary Art (Evening Sale),25-May,LIVE AUCTION ,"HKD 858,077,500",HONG KONG,https://www.christies.com/en/auction/20th-century-contemporary-art-evening-sale-27458/
ICONOCLAST,25-May,LIVE AUCTION ,"HKD 52,177,500",HONG KONG,https://www.christies.com/en/auction/iconoclast-28407/
Latin American Art,22 – 23 May,LIVE AUCTION ,"USD 17,483,125",NEW YORK,https://www.christies.com/en/auction/latin-american-art-27560/
"The Collector: Silver &19th Century Furniture, Sculpture & Works of Art",23-May,LIVE AUCTION ,"GBP 2,739,250",LONDON,https://www.christies.com/en/auction/the-collector-silver-19th-century-furniture-sculpture-works-of-art-28081/
American Art,22-May,LIVE AUCTION ,"USD 32,668,750",NEW YORK,https://www.christies.com/en/auction/american-art-28047/
American Art Online,15 – 22 May,ONLINE AUCTION ,"USD 2,087,250",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28048&SaleNumber=17035
"The Collector: English Furniture, Works of Art and Portrait Miniatures",22-May,LIVE AUCTION ,"GBP 876,750",LONDON,https://www.christies.com/en/auction/the-collector-english-furniture-works-of-art-and-portrait-miniatures-28080/
"The Collector: European Furniture, Works of Art & Ceramics",22-May,LIVE AUCTION ,"GBP 1,409,625",LONDON,https://www.christies.com/en/auction/the-collector-european-furniture-works-of-art-ceramics-28082/
Modern Edition,9 – 16 May,ONLINE AUCTION ,"GBP 503,000",LONDON,https://onlineonly.christies.com/sso?SaleID=28037&SaleNumber=17019
Post-War and Contemporary Art Afternoon Session,16-May,LIVE AUCTION ,"USD 36,746,375",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-afternoon-session-28022/
Post-War and Contemporary Art Morning Session,16-May,LIVE AUCTION ,"USD 56,231,750",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-morning-session-28019/
Picasso Ceramics,9 – 15 May,ONLINE AUCTION ,"USD 1,575,500",NEW YORK,https://onlineonly.christies.com/sso?SaleID=27924&SaleNumber=16659
Post-War and Contemporary Art Evening Sale,15-May,LIVE AUCTION ,"USD 538,721,750",NEW YORK,https://www.christies.com/en/auction/post-war-and-contemporary-art-evening-sale-28020/
Impressionist and Modern Art Day Sale,14-May,LIVE AUCTION ,"USD 27,182,500",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-day-sale-28068/
Impressionist and Modern Art Works on Paper Sale,14-May,LIVE AUCTION ,"USD 12,847,375",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-works-on-paper-sale-28067/
Impressionist and Modern Art Evening Sale,13-May,LIVE AUCTION ,"USD 399,041,000",NEW YORK,https://www.christies.com/en/auction/impressionist-and-modern-art-evening-sale-28066/
Weegee Photographs: The Elastic Lens,2 – 7 May,ONLINE AUCTION ,"USD 53,625",NEW YORK,https://onlineonly.christies.com/sso?SaleID=28459&SaleNumber=18322
Masterworks from the Estate of Lila and Herman Shickman,1-May,LIVE AUCTION ,"USD 10,464,750",NEW YORK,https://www.christies.com/en/auction/masterworks-from-the-estate-of-lila-and-herman-shickman-28386/
Old Master Paintings and Sculpture,1-May,LIVE AUCTION ,"USD 5,073,625",NEW YORK,https://www.christies.com/en/auction/old-master-paintings-and-sculpture-28186/
Old Masters,1-May,LIVE AUCTION ,"USD 32,982,250",NEW YORK,https://www.christies.com/en/auction/old-masters-28062/
Post-War & Contemporary Art,30 April – 1 May,LIVE AUCTION ,"EUR 7,834,250",AMSTERDAM,https://www.christies.com/en/auction/post-war-contemporary-art-28145/
European Art,30-Apr,LIVE AUCTION ,"USD 6,292,875",NEW YORK,https://www.christies.com/en/auction/european-art-28054/
The Desmarais Collection: A pied-à-terre in New York,30-Apr,LIVE AUCTION ,"USD 5,400,250",NEW YORK,https://www.christies.com/en/auction/the-desmarais-collection-a-pied-terre-in-new-york-28166/
Orientalist Art,29-Apr,LIVE AUCTION ,"GBP 4,798,125",LONDON,https://www.christies.com/en/auction/orientalist-art-28331/
Prints & Multiples,17 – 18 April,LIVE AUCTION ,"USD 11,669,625",NEW YORK,https://www.christies.com/en/auction/prints-multiples-28072/
Feelings in Colour: The Graphic Art of Howard Hodgkin,4 – 12 April,ONLINE AUCTION ,"GBP 302,500",LONDON,https://onlineonly.christies.com/sso?SaleID=28408&SaleNumber=18168
First Open | Online,4 – 11 April,ONLINE AUCTION ,"GBP 1,936,250",LONDON,https://onlineonly.christies.com/sso?SaleID=27970&SaleNumber=16799
Interiors: Including Noble & Private Collections,10-Apr,LIVE AUCTION ,"GBP 1,476,562",LONDON,https://www.christies.com/en/auction/interiors-including-noble-private-collections-27972/
Modern | British & Irish Art,9-Apr,LIVE AUCTION ,"GBP 1,916,750",LONDON,https://www.christies.com/en/auction/modern-british-irish-art-27975/
"The Collector: English & European 18th & 19th Century Furniture, Ceramics, Silver & Works of Art",9-Apr,LIVE AUCTION ,"USD 3,334,500",NEW YORK,https://www.christies.com/en/auction/the-collector-english-european-18th-19th-century-furniture-ceramics-silver-works-of-art-28061/
Thinking Italian Milan,3 – 4 April,LIVE AUCTION ,"EUR 13,932,875",MILAN,https://www.christies.com/en/auction/thinking-italian-milan-27967/
Daydreaming: Photographs from the Goldstein Collection,2-Apr,LIVE AUCTION ,"USD 1,614,750",NEW YORK,https://www.christies.com/en/auction/daydreaming-photographs-from-the-goldstein-collection-28203/
Photographs,2-Apr,LIVE AUCTION ,"USD 3,511,750",NEW YORK,https://www.christies.com/en/auction/photographs-28039/
The Face of the Century: Photographs from a Private Collection,2-Apr,LIVE AUCTION ,"USD 1,812,000",NEW YORK,https://www.christies.com/en/auction/the-face-of-the-century-photographs-from-a-private-collection-28383/
First Open | Hong Kong,29-Mar,LIVE AUCTION ,"HKD 47,380,000",HONG KONG,https://www.christies.com/en/auction/first-open-hong-kong-28042/
Impressionist & Modern Art,29-Mar,LIVE AUCTION ,"EUR 8,583,875",PARIS,https://www.christies.com/en/auction/impressionist-modern-art-28033/
Handpicked: 50 works selected by the Saatchi Gallery - Online,19 – 28 March,ONLINE AUCTION ,"GBP 102,250",LONDON,https://onlineonly.christies.com/sso?SaleID=28390&SaleNumber=17991
"Oeuvres Modernes sur papier, incluant des oeuvres de la collection Jean Bonna",28-Mar,LIVE AUCTION ,"EUR 4,544,125",PARIS,https://www.christies.com/en/auction/oeuvres-modernes-sur-papier-incluant-des-oeuvres-de-la-collection-jean-bonna-28011/
